,extras,car_id
0,Post-trip cleaning,783
1,Post-trip cleaning,798
2,Post-trip cleaning,802
3,Post-trip cleaning,818
4,Unlimited mileage,16
5,Prepaid refuel,17
6,Post-trip cleaning,843
7,Post-trip cleaning,850
8,Child safety seat,831
9,Post-trip cleaning,857
10,Generator,862
11,Prepaid refuel,892
12,Pet fee,895
13,Unlimited mileage,877
14,Unlimited mileage,878
15,Cooler,904
16,Phone mount,926
17,Prepaid refuel,928
18,Child safety seat,934
19,Prepaid refuel,39
20,Picnic basket,30
21,Post-trip cleaning,46
22,Post-trip cleaning,50
23,Post-trip cleaning,947
24,Post-trip cleaning,950
25,Post-trip cleaning,966
26,Phone mount,970
27,Cooler,980
28,Portable GPS,981
29,Post-trip cleaning,986
30,Post-trip cleaning,88
31,Unlimited mileage,94
32,Post-trip cleaning,1000
33,Post-trip cleaning,1005
34,Unlimited mileage,1011
35,Prepaid refuel,1021
36,Post-trip cleaning,117
37,Prepaid refuel,129
38,Post-trip cleaning,1025
39,Post-trip cleaning,140
40,Child safety seat,1037
41,One-way trip,1047
42,Post-trip cleaning,1053
43,Prepaid refuel,1065
44,Post-trip cleaning,1085
45,Pet fee,152
46,Prepaid refuel,168
47,Portable WiFi hotspot,1090
48,Prepaid refuel,1094
49,Post-trip cleaning,174
50,Camping gear,1116
51,Prepaid refuel,1117
52,Prepaid refuel,1130
53,Post-trip cleaning,1140
54,Post-trip cleaning,192
55,Child safety seat,1141
56,Portable GPS,199
57,Unlimited mileage,1165
58,One-way trip,1170
59,Post-trip cleaning,1173
60,Unlimited mileage,215
61,Prepaid refuel,1179
62,Portable GPS,224
63,Portable WiFi hotspot,228
64,Prepaid refuel,1197
65,Portable WiFi hotspot,1189
66,Post-trip cleaning,238
67,Sports gear,242
68,Unlimited mileage,251
69,Post-trip cleaning,1208
70,Post-trip cleaning,1210
71,Post-trip cleaning,1212
72,Portable GPS,1240
73,Unlimited mileage,1248
74,Post-trip cleaning,1250
75,Post-trip cleaning,300
76,Unlimited mileage,1269
77,Post-trip cleaning,1271
78,One-way trip,313
79,Prepaid refuel,327
80,Unlimited mileage,1291
81,Post-trip cleaning,334
82,Child safety seat,345
83,Phone mount,348
84,Phone mount,1305
85,Prepaid refuel,1315
86,Portable WiFi hotspot,1328
87,Child safety seat,1330
88,Post-trip cleaning,1344
89,Unlimited mileage,1353
90,Child safety seat,1355
91,Stroller,369
92,Stroller,379
93,Portable WiFi hotspot,387
94,Post-trip cleaning,400
95,Tablet,1376
96,Pet fee,1389
97,Post-trip cleaning,410
98,Beach gear,414
99,Post-trip cleaning,1401
100,Camping tent,432
101,One-way trip,1408
102,Cooler,1421
103,Child safety seat,1421
104,Portable GPS,1427
105,Post-trip cleaning,458
106,Child safety seat,462
107,Prepaid refuel,464
108,Prepaid refuel,1440
109,Prepaid refuel,1442
110,Post-trip cleaning,487
111,Post-trip cleaning,1461
112,Camera,493
113,Prepaid refuel,1469
114,Portable GPS,1471
115,Post-trip cleaning,505
116,Roof rack,508
117,Prepaid refuel,1489
118,Prepaid refuel,524
119,Prepaid refuel,1492
120,Prepaid refuel,1494
121,Post-trip cleaning,540
122,Prepaid refuel,543
123,Post-trip cleaning,548
124,Child safety seat,1520
125,Child safety seat,558
126,Post-trip cleaning,1532
127,Portable WiFi hotspot,1538
128,Child safety seat,1555
129,Prepaid refuel,1559
130,Unlimited mileage,565
131,Post-trip cleaning,1562
132,Post-trip cleaning,1574
133,Child safety seat,584
134,Post-trip cleaning,596
135,Cooler,598
136,Post-trip cleaning,1589
137,Post-trip cleaning,1593
138,Cooler,1596
139,Portable GPS,623
140,Post-trip cleaning,1612
141,Post-trip cleaning,638
142,Prepaid refuel,641
143,Prepaid refuel,1618
144,Phone mount,1621
145,Sports gear,1626
146,Child safety seat,648
147,Pet fee,1650
148,One-way trip,659
149,Post-trip cleaning,1659
150,Portable GPS,1664
151,Child safety seat,1676
152,Post-trip cleaning,673
153,Prepaid refuel,677
154,Portable GPS,1692
155,Air mattress,1697
156,Unlimited mileage,1709
157,Prepaid refuel,696
158,Post-trip cleaning,700
159,Post-trip cleaning,718
160,Bike,723
161,Cooler,1721
162,Portable GPS,1723
163,Child safety seat,1728
164,Post-trip cleaning,1752
165,Prepaid refuel,1762
166,Prepaid refuel,1775
167,Child safety seat,746
168,Prepaid refuel,749
169,Post-trip cleaning,1782
170,Prepaid refuel,761
171,Child safety seat,764
172,Prepaid refuel,1788
173,Post-trip cleaning,779
174,Post-trip cleaning,781
175,Child safety seat,1815
176,Prepaid refuel,1824
177,Child safety seat,267
178,Prepaid refuel,270
179,Post-trip cleaning,291
180,One-way trip,2164
181,Child safety seat,2169
182,Post-trip cleaning,1836
183,Stroller,2173
184,Post-trip cleaning,1846
185,Post-trip cleaning,1858
186,Post-trip cleaning,1865
187,Unlimited mileage,2185
188,Post-trip cleaning,1882
189,Child safety seat,1894
190,Post-trip cleaning,2197
191,Prepaid refuel,1913
192,Post-trip cleaning,1920
193,Cooler,2205
194,Post-trip cleaning,1929
195,Post-trip cleaning,1941
196,Post-trip cleaning,2209
197,Prepaid refuel,1952
198,Unlimited mileage,1962
199,Prepaid refuel,2225
200,Post-trip cleaning,1967
201,One-way trip,1977
202,Post-trip cleaning,1986
203,Phone mount,1991
204,Post-trip cleaning,1998
205,Portable WiFi hotspot,2010
206,Post-trip cleaning,2023
207,Post-trip cleaning,2022
208,Prepaid refuel,2035
209,One-way trip,2250
210,Prepaid refuel,2252
211,Prepaid refuel,2052
212,Unlimited mileage,2258
213,Post-trip cleaning,2062
214,One-way trip,2071
215,Tablet,2078
216,Unlimited mileage,2275
217,Phone mount,2280
218,Post-trip cleaning,2282
219,Unlimited mileage,2285
220,One-way trip,2111
221,Prepaid refuel,2287
222,Unlimited mileage,2121
223,Prepaid refuel,2125
224,Phone mount,2132
225,Beach gear,2140
226,Post-trip cleaning,2147
227,Phone mount,2298
228,Unlimited mileage,2158
229,One-way trip,2271
230,Portable GPS,2075
231,Prepaid refuel,2312
232,Pet fee,2351
233,Child safety seat,2331
234,Child safety seat,2340
235,Prepaid refuel,2378
236,Prepaid refuel,2381
237,Post-trip cleaning,2373
250,One-way trip,820
251,Unlimited mileage,959
252,Phone mount,1075
253,Unlimited mileage,233
254,Unlimited mileage,351
255,Post-trip cleaning,445
256,Prepaid refuel,1511
257,Prepaid refuel,1638
258,Portable GPS,1745
259,Cooler,1850
260,Child safety seat,1998
261,Helmet,2132
262,Portable WiFi hotspot,812
263,Post-trip cleaning,964
264,Unlimited mileage,152
265,Post-trip cleaning,1202
266,Child safety seat,1316
