features,car_id
"Toll pass",782
"Long-term car",784
"Long-term car",3
GPS,786
"USB input",11
"REAR VIEW CAMERA",4
"Parking Assistant",11
Sunroof,789
Bluetooth,6
"Pet friendly",7
"Audio input",14
GPS,19
"Heated seats",19
Bluetooth,17
Bluetooth,805
Sunroof,806
"Long-term car",24
GPS,809
Sunroof,809
"Heated Steering",822
"Automatic transmission",828
Bluetooth,812
"Audio input",814
"Automatic transmission",832
"Heated seats",849
Bluetooth,846
"All-wheel drive",835
"USB input",848
"Audio input",837
Bluetooth,838
"Apple Car play",857
Sunroof,841
"Long-term car",869
"Toll pass",862
"EV / Hybrid",871
"Pet friendly",871
"EV / Hybrid",880
"USB input",894
"Rain Sense front wipers",871
"Long-term car",865
"leather seats",865
"HID/LED Lights",896
"Audio input",883
"Heated seats",898
"Cooled Seats",875
"Toll pass",868
"EV / Hybrid",901
"USB input",886
"Long-term car",889
"Long-term car",904
"USB input",909
"Automatic transmission",911
Bluetooth,924
"USB input",929
Bluetooth,913
Heat,926
"Leather Seats",932
"Push to Start Button (Keyless)",932
"Parking Assist",917
"Back-Up Camera",932
"Heated seats",937
"Automatic transmission",919
"Child seat",919
GPS,920
"USB input",920
Bluetooth,942
Sirius,942
"Apple CarPlay",942
"Audio input",33
"Heated seats",35
"Automatic transmission",58
"Child seat",37
"USB input",59
"Automatic transmission",61
"All-wheel drive",944
GPS,63
"Heated seats",64
"USB input",946
"Long-term car",949
"USB input",947
Convertible,951
"Blind spot sensors ",68
Bluetooth,953
"Audio input",955
Bluetooth,959
"Cooling Seats",955
"Automatic transmission",57
"USB input",57
"USB input",963
"Audio input",965
"Automatic transmission",979
"Audio input",980
"Toll pass",980
GPS,72
"Toll pass",83
"All-wheel drive",983
"Audio input",75
"Automatic transmission",76
Bluetooth,86
"All-wheel drive",987
"Toll pass",987
"USB input",93
Bluetooth,94
GPS,97
"USB input",995
"Audio input",98
"USB input",98
Sunroof,1002
"USB input",1003
"Toll pass",994
"USB input",99
Bluetooth,1008
"Automatic transmission",1009
"Child seat",1012
"Long-term car",1010
"Automatic transmission",105
"Remote Start ",1013
"Automatic transmission",108
Sunroof,114
"Bose sound system",108
"2 USB ports",116
"Automatic transmission",124
"Free Wi-Fi ",1016
"Automatic transmission",119
"USB input",133
"Must be 30+ to rent",1019
"USB input",1019
Sunroof,135
"Pet friendly",122
Sunroof,131
Sunroof,139
GPS,1027
"Audio input",141
"Manual transmission",1036
Bluetooth,1036
"Child seat",1037
"Automatic transmission",1039
"Pet friendly",1039
Bluetooth,1032
"Automatic transmission",1054
Bluetooth,1050
"Child seat",1042
GPS,1051
"USB input",1056
"Child seat",1044
"Long-term car",1045
GPS,1064
"Automatic transmission",1065
"Automatic transmission",1067
"Automatic transmission",146
Bluetooth,1073
"Toll pass",148
Sunroof,149
Bluetooth,1076
"All-wheel drive",151
"Heated seats",1082
"Child seat",159
"Long-term car",160
Sunroof,160
"Audio input",1085
GPS,162
"Bike rack",163
Bluetooth,1087
"Child seat",170
"Automatic transmission",1098
Pandora,1091
"Child seat",1100
"Long-term car",1102
"Audio input",173
"Child seat",1095
Bluetooth,1104
Convertible,177
"USB input",1111
"Must be 30+ to rent",180
"Heated seats",1112
"Automatic transmission",1120
"Toll pass",181
"USB input",1121
"EV / Hybrid",1123
"Automatic transmission",1126
GPS,1136
"USB input",182
Bluetooth,1129
"Automatic transmission",1131
"Automatic transmission",186
"Automatic transmission",1133
Bluetooth,196
Convertible,197
Bluetooth,190
"All-wheel drive",191
Sunroof,191
"Automatic transmission",200
Sunroof,200
Sunroof,202
"Toll pass",204
"All-wheel drive",195
"Long-term car",1148
"Audio input",1150
"Audio input",209
"USB input",1170
"Cruise Control",1170
"USB input",211
"Automatic transmission",1167
"Heated seats",1167
"Automatic transmission",214
"USB input",1157
"Toll pass",1177
"Toll pass",1159
"Apple Car Play / Android Auto",1179
"Audio input",1181
"Audio input",224
GPS,225
"Automatic transmission",227
"Heated seats",1189
Convertible,1185
"Audio input",1196
Bluetooth,1186
"Audio input",1192
Sunroof,1192
"Leather trim",1187
"free supercharging",1193
"Premium Gas",1198
"USB input",1195
GPS,1202
"USB input",249
"USB input",250
"Sport leather seats",1203
GPS,253
"USB input",240
Bluetooth,243
"Audio input",1210
"All-wheel drive",1212
"ALL WHEEL DRIVE",1212
"Long-term car",1213
"All-wheel drive",1217
"Pet friendly",247
GPS,1231
"Automatic transmission",1233
"Long-term car",1234
"8 Gear automatic",1222
Bluetooth,266
Sunroof,266
GPS,1223
"Audio input",1224
"Toll pass",1224
"All-wheel drive",1241
Sunroof,1241
"Audio input",272
"Heated seats",272
"Toll pass",1243
"Audio input",1245
GPS,1246
"Audio input",285
"GRAND SPORT Package",285
"Long-term car",1249
"Automatic transmission",1251
Bluetooth,294
"Audio input",1253
"Automatic transmission",1254
"Child seat",1254
"Dual Trunks - Front and Back",288
"Automatic transmission",1256
"All-wheel drive",1258
"Tonneau Cover",1258
Sunroof,301
"Toll pass",302
Bluetooth,305
"Automatic transmission",312
"Heated seats",312
"Toll pass",1265
"Audio input",1266
"Leather Seats",1266
"Automatic transmission",1268
"Heated seats",1268
"USB input",320
"Long-term car",1275
Bluetooth,1270
Bluetooth,1277
"Automatic transmission",321
"Pet friendly",321
"Child seat",1279
GPS,1280
"Automatic transmission",1291
"Heated seats",1291
"Automatic transmission",328
"Collision Mitigation Braking System",1291
"Rain-sensing windshield wipers",1291
GPS,1296
"Long-term car",1297
"Heated seats",1299
Bluetooth,345
"USB input",339
"USB input",340
"Automatic transmission",341
"USB input",342
"Heated seats",1306
"Long-term car",1315
"rear view camera",1315
"All-wheel drive",352
"Child seat",1327
"Audio input",1311
"Audio input",1312
"Automatic transmission",1322
"Audio input",1324
"Audio input",1314
Sunroof,354
Bluetooth,1326
Convertible,358
Bluetooth,1345
"Automatic transmission",1347
"Audio input",1336
"Audio input",1356
"Park Assist",1349
"Audio input",364
"USB input",1341
"Long-term car",1358
"Audio input",1359
"Toll pass",1359
"Audio input",367
"Automatic transmission",1362
"Automatic transmission",369
"USB input",371
"Automatic transmission",374
"Collision detection calls 911",371
"Ski rack",372
"Long-term car",376
GPS,377
Bluetooth,1366
"Long-term car",388
"Heated seats",379
"Audio input",382
"Automatic transmission",397
Bluetooth,393
"USB input",401
Bluetooth,402
Bluetooth,1371
"Automatic transmission",1373
"Automatic transmission",1375
"Child seat",1392
"Automatic transmission",1386
"Automatic transmission",1395
"USB input",1398
"Automatic transmission",1388
"Audio input",1400
"Long-term car",1401
"Automatic transmission",1403
"Toll pass",1404
"Audio input",410
"Long-term car",411
Bluetooth,420
"Must be 25+ to rent",427
Bluetooth,422
"USB input",429
"All-wheel drive",424
"Audio input",416
"USB input",449
Bluetooth,432
GPS,452
"Automatic transmission",453
"Audio input",461
"Pet friendly",1436
"Audio input",463
GPS,464
"Long-term car",470
"Heated seats",464
GPS,465
Sunroof,465
"Automatic transmission",1441
"Toll pass",1442
"All-wheel drive",1443
"Heated seats",476
"USB input",479
Bluetooth,487
"Automatic transmission",1446
"Child seat",484
"Long-term car",1448
Sunroof,485
Bluetooth,1451
"Apple CarPlay/Android Auto",486
Bluetooth,495
"Long-term car",496
GPS,1457
"Audio input",497
"All-wheel drive",1472
"USB input",1473
"Heated seats",1464
"Automatic transmission",1467
Bluetooth,1478
Bluetooth,1479
"USB input",1482
"Long-term car",1483
"Panoramic SunRoof",1470
GPS,504
Sunroof,1487
"Automatic transmission",1489
GPS,505
"USB input",506
"All-wheel drive",514
"Automatic transmission",1491
"USB input",515
"Audio input",519
GPS,520
"Pet friendly",521
Sunroof,1506
"Long-term car",523
Sunroof,1493
GPS,527
"leather seats",1494
"Cooled seats",1494
Convertible,1495
"USB input",529
"Automatic transmission",531
Convertible,537
"Automatic transmission",533
"USB input",538
"Audio input",535
Sunroof,535
"Audio input",551
GPS,1504
"Audio input",553
"Long-term car",1511
"Long-term car",544
Sunroof,1512
"Heated seats",557
"Turbocharged ",1520
Bluetooth,1529
"Long-term car",1523
"EV / Hybrid",1518
"Automatic transmission",1524
"Automatic transmission",1525
Bluetooth,1527
"Parking Assist",1535
"Audio input",1536
"Saftey car alarm, anti-theft system",1536
"USB input",1541
GPS,1548
"Automatic transmission",1553
"Leather seats",1549
Bluetooth,569
"Rear entertainment system",1557
"All-wheel drive",579
"Long-term car",572
"Heated seats",566
"Audio input",582
"USB input",567
"Audio input",1560
"USB input",1566
"Molecular Bonded Shell ",1563
"Back-up camera",1567
"Automatic transmission",1564
Bluetooth,1579
WIFI,1573
"Long-term car",595
Bluetooth,609
"Audio input",597
"Audio input",612
"Roof Rack / Ladder",612
"Audio input",1582
Sunroof,1582
"USB input",602
Bluetooth,603
"Audio input",615
"Long-term car",593
"USB input",1586
"USB input",606
"Long-term car",618
"Pet friendly",620
GPS,1591
"Must be 25+ to rent",1604
GPS,623
"Heated seats",623
"Long-term car",629
GPS,1595
"Automatic transmission",627
"Toll pass",1596
"Automatic transmission",1598
"Toll pass",1598
"USB input",1600
Bluetooth,1612
"360 degree camera and parking sensos",1612
"Audio input",1613
"Delivery to Hotels",1613
"Long-term car",1614
"Long-term car",637
"Audio input",1633
"EV / Hybrid",1634
"Audio input",640
Sunroof,640
Bluetooth,1621
"Automatic transmission",1622
Sunroof,1647
"USB input",644
"Child seat",1649
"Automatic transmission",1627
"Automatic transmission",1629
Sunroof,1651
"Automatic transmission",647
"Automatic transmission",664
"Peach Pass",1654
"USB input",659
" leather seats",665
"Automatic transmission",668
"Long-term car",660
Bluetooth,670
Bluetooth,661
Bluetooth,662
"All-wheel drive",1661
"Audio input",1663
"sirius xm",1682
Bluetooth,1683
"Long-term car",1684
"Long-term car",1676
"Automatic transmission",1667
Sunroof,1667
"Audio input",674
"Automatic transmission",685
"USB input",686
"Toll pass",687
"USB input",688
"Streaming internet music",1691
"Audio input",690
"Toll pass",1692
"Automatic transmission",1699
"Automatic transmission",1707
"Automatic transmission",1708
GPS,692
"Audio input",699
