insurance,car_year,city,description,zip_code,trim,star_rating,gas,guidelines,model,state,add_delivery_cost,car_id,make,mpg,n_of_seats,delivery_cost_airport,vehicle_type,distance_included,n_of_doors,host_id,add_delivery_info,delivery_airport,car_page_url,business_class
"Liberty Mutual",2017,los-angeles,"Nice and clean",91604,SLK350,5.0,Gas,none,"slk class",ca,none,20,"mercedes benz",24,2,"['$95']",cars,1000,2,1,none,"['Los Angeles International Airport', 'Bob Hope Airport']","https://turo.com/rentals/cars/ca/los-angeles/mercedes-benz-slk-class/551326",0
"Liberty Mutual",2018,irvine,"Top Turo Power Host in Orange County!
1000+ Trips w/ 5-Star Rating
15 Cars from Corvettes to Slingshots
Book Instantly and Pick-Up in one hour! 
$25 off your first rental when you sign up at the following link:
www.TryTuro.com

Save even more money…
-Discounted Rates Monday to Wednesday
-Prepay car wash for only $15 (save$20)
-Unlimited miles available for $54/day
-$25OFF first trip -go to: TryTuro.com (new SignUps only - free to join)

Washed, Waxed, and Fueled!
Return it exactly how you received it or we’ll wash it for a small cleaning fee of $35. 
We prefer that you return it without filling it back up with gas and we’ll take it to Costco gas and charge it directly to your reservation. You’ll save time having us do it for you at Costco, it’s always a better price and you won’t have to wait in line or use up your miles having to go to the gas station.

Instant Booking  w/ Reservation Confirmation!
Available 24/7

I’m also available on YouTube! 
(copy&amp;paste link below into your address/search bar)
https://www.youtube.com/channel/UCDJ0Yb_YYkfCkU-ekO23Z2A/videos
---Please remember to Subscribe to my channel--- Thanks!

What’s in my garage?
2013 Tesla Model S P85 w/251mile-range white
2017 Corvette Stingray Hardtop Convertible white
2017 Corvette Stingray Hardtop Convertible black
2017 Corvette Stingray Hardtop Convertible grey
2017 Corvette Z51 w/auto-Soft-top-Convertible black
2017 BMW 2 Series Convertible All-Wheel-Drive Turbo white
2018 BMW 2 Series Convertible Twin-Turbo w/ECO white
2018 BMW 4 Series M-Sport Gran Coupe silver
2018 BMW 7 Series Fully-Loaded white
2018 Mercedes Benz C-Coupe Convertible grey
2017 Chevrolet Suburban Fully Loaded white
2013 Hyundai Sonata 4dr Sedan w/ ECO-mode grey
2016 Polaris Slingshot 3-wheel w/manual-transmission black
2016 Polaris Slingshot 3-wheel w/manual-transmission red

TryTuro.com  ?-New Users SignUp and Get $25OFF 1st Rental",92618,none,5.0,"Gas (Premium)","[""You'll receive our car cleaned inside/out and with a full tank of gas. When you return the car, you don't have to bring it back with a full tank of gas, we will take it to Costco Gas to fill it up for you and charge it directly to your reservation on Turo.The car is required to be returned professionally cleaned, just as you received it. If you don't get a chance to have it cleaned, please let us know and we'll have it cleaned for only $35. The cleaning fee of $35 can be paid at the end of your reservation or we can charge it to your Turo account.Please keep your car wash and gas receipts. Our cars are cleaned and sanitized before every ride. We make sure that all the seats, buttons, handles, and steering wheel are all sanitized for your safety and pleasure. Although our renters bring back our Corvette clean, we still vacuum under the mats and seats, sanitize wipe the headrest, and clean between the cracks. Our car is in new condition and we like to keep it that way.Thank you for taking care of my car... -no pets -no food or drinks -no heavy cologne-no Toll roads-no smoking-no low octane fuel, please use 91+octane ONLY(Using a low octane fuel will result in lower miles per gallon) Smoking, pets, eating, are NOT allowed inside our car. A $250 cleaning fee will be applied to your Turo Reservation if there is any smoke smell, evidence of pets or other foul smell detected upon return.Please keep your car wash and gas receipts. Save even more money…-Discounted Rates Monday to Wednesday-Prepay car wash for only $25 (save$10)-Unlimited miles available for $99/day-Prepay fuel, full tank @$3.50/gallon(Add the above extras before your reservation starts by going to “Request Change”)""]","c class",ca,120,40,"mercedes benz",32,4,"['$120', '$120', '$120']",cars,none,4,212,"Up to 50 miles","['Los Angeles International Airport', 'John Wayne Airport', 'LA/Ontario International Airport', 'Long Beach Airport']","https://turo.com/rentals/cars/ca/irvine/mercedes-benz-c-class/416103",1
"Liberty Mutual",2018,glendale,"Check out this bright red sports car. It’s powerful V8 makes it very fun and thrilling to drive and it’s great handling puts you in full control behind the wheel. It is considered a coupe but the top does come off making it the perfect car to take to the beach. Book the car now and enjoy!!

Lots of extra features including:

Paddle Shifters
Removable Top
Apple Car Play
Back up Camera
Leather Sports Seats 
Keyless Entry and Start 
3 USB Imports
8 Speed Automatic Transmission 
Tinted Windows 
Ability to change exhaust sound

Note: you agree to all the terms and conditions stated when booking the car and not following those rules can lead to extra charges. 

No participating in illegal events.
NO BURNOUTS or DONUTS.
No launching the car.
No smoking, drinking or eating in the car.
You are responsible for any exterior and interior damages.
Can not take this car to the track.
No pets.
Fill the fuel tank with 91 octane only and show recipes at checkout.
Any parking or traffic tickets during the trip are your responsibility.",91204,none,0.0,none,none,corvette,ca,none,60,chevrolet,none,none,"['$100', '$80']",cars,750,none,134,none,"['Los Angeles International Airport', 'Bob Hope Airport']","https://turo.com/rentals/cars/ca/glendale/chevrolet-corvette/556995",1
"Liberty Mutual",2015,dallas,"Fully Loaded Chevy Tahoe LTZ!
If you're looking for luxury at a fraction of the price, then look no further!  Cruise around town in style and comfort.  Great for families or anyone who wants a top notch experience.

*** NOTE - Current maximum seating is for 4 passengers only. Third row seat is removed ***

Features include:
-Leather Seats
-Power sunroof
-Rear seat TV/DVD entertainment system
-Heated and air conditioned first row seats
-Heated 2nd row captains chairs
-Bose Centerpoint premium 10-speaker surround sound
-Color touch screen
-Hands free bluetooth
-Back-up camera and sensors
-Blind-spot detection
-Power rear lift gate
-Remote start
-Navigation touch screen",75219,LTZ,5.0,Gas,"['I will provide the vehicle with a full tank of gas so please return with a full tank.No pets and No smoking please.If a remote hand-off is required, I will request reimbursement for parking.New to Turo?  Use my code for $25 off: https://turo.com/c/jacobk447']",tahoe,tx,30,80,chevrolet,18,4,"['$30', '$30']",suvs,none,4,148,"Up to 10 miles","['Dallas Love Field', 'Dallas/Fort Worth International Airport']","https://turo.com/rentals/suvs/tx/dallas/chevrolet-tahoe/481714",0
"Liberty Mutual",2008,los-angeles,"Aux cable &amp; Cigarette lighter-USB-charging - adapter provided.

2008 BMW 535i 

6 Cylinder Twin Turbo Charged

Luxury Sedan, 

Parking Sensors

Navigation

Bluetooth

Moon Roof

Dual Climate Control",91602,none,5.0,"Gas (Premium)","['No Smoking , No Pets']","5 series",ca,none,100,bmw,23,5,"['$25']",cars,1000,4,89,none,"['Los Angeles International Airport', 'Bob Hope Airport']","https://turo.com/rentals/cars/ca/los-angeles/bmw-5-series/513508",0
"Liberty Mutual",2018,irvine,"GET $25 OFF YOUR FIRST TRIP- https://turo.com/c/kirilla

THIS IS A NEW 2016 JEEP WRANGLER UNLIMITED SPORT TRAIL RATED. 
NOT YOUR REGULAR WRANGLER. 
Feel free to take the top off and ride in it like a convertible, or simply ride in style around town. 
Comes equipped with:
CUSTOM ULTRA BLACK WHEELS W 33"""" OFFROAD TIRES
FRONT LEVELING KIT
LIMO TINT
You will be much higher than any other driver on the road. 

THIS CAR IS PURE FUN!!! Enjoy!!!=)",92612,"Unlimited Sport RHD",5.0,"Gas (Regular)",none,wrangler,ca,100,120,jeep,18,5,"['$120', '$120', '$120']",suvs,1000,4,400,"Up to 10 miles","['Los Angeles International Airport', 'John Wayne Airport', 'LA/Ontario International Airport', 'Long Beach Airport']","https://turo.com/rentals/suvs/ca/irvine/jeep-wrangler/529433",1
"Liberty Mutual",2016,ashburn,"Very nice honda  Civic  EX  comes with moon door , car play , google Auto

If you need outside of free delivery zone,  I could delive it for reasonable fee as long you drop me back.

call or text me @ (301) 778-8985

For $25 referral credit use the below link
https://turo.com/c/duraia",20148,EX,5.0,Gas,none,civic,va,0,140,honda,36,5,"['$80']",cars,1000,4,151,"Up to 5 miles","['Washington Reagan National Airport', 'Washington Dulles International Airport']","https://turo.com/rentals/cars/va/ashburn/honda-civic/472351",0
"Liberty Mutual",2015,dallas,"My Car is in MINT CONDITION with ALL the FEATURES YOU CAN POSSIBLY WANT IN A CAR. MY CAR HAS A FULL ANDROID COMPUTER OPERATING SYSTEM.... If your phone has a HOTSPOT  you can access movies, You Tube, and even SURF the internet right from the panel of my car!!!!! 

Besides this - the car is in SUPER CLEAN TRIPLE BLACK CONDITION... YOU WILL LOVE HOW THIS CAR LOOKS AND FEELS.....

This is the Perfect Luxury Car for Travelers or Just a Night Out.

-Black on Black with pure wood trim 
-CHROME AMG Rims
-E350 Sport Kit
-Powerful 7 Speed Shiftable V6 Engine
-Air Suspension 
-Rear Privacy Screen 
- Full Android Operating System and over 100 Movies in the car
-Harman/Kardon Sound System 
- LATEST 2016 Navigation
-Massage Seat while in Driver Seat
-Multilevel Heated Seats

Renter must be 23 years old or older.

No Smoking, No Pets. ($150 fee applicable)

Supreme Gas (PREMIUM ONLY) Please Keep Recipets.

Clean Interior/Exterior, Please Return in Same Condition. 

Feel Free to Communicate With Me For Any Questions or Concerns! Thanks!",75251,none,4.5,"Gas (Premium)","['This is the Perfect Luxury Car for Travelers or Just a Night Out.-Black on Black with pure wood trim -CHROME AMG Rims-E350 Sport Kit-Powerful 7 Speed Shiftable V6 Engine-Air Suspension -Rear Privacy Screen - Full Android Operating System and over 100 Movies in the car-Harman/Kardon Sound System - LATEST 2016 Navigation-Massage Seat while in Driver Seat-Multilevel Heated SeatsRenter must be 23 years old or older.No Smoking, No Pets. ($150 fee applicable)Supreme Gas (PREMIUM ONLY) Please Keep Recipets.Clean Interior/Exterior, Please Return in Same Condition. Feel Free to Communicate With Me For Any Questions or Concerns! Thanks!']","e class",tx,0,160,"mercedes benz",24,5,"['$30', '$30']",cars,1000,4,382,"Up to 10 miles","['Dallas/Fort Worth International Airport', 'Dallas Love Field']","https://turo.com/rentals/cars/tx/dallas/mercedes-benz-e-class/362938",0
"Liberty Mutual",2017,los-angeles,"?? 2019 G550 | Get $25 off your first rental - https://turo.com/c/erich1098. Please read all of the profile.

Take advantage of this NEW LISTING (turo doesn’t event have it ready for app input!)

?? This is a beautiful Loaded 2019 G550. The Mercedes-Benz G-Class is the automotive equivalent of, ""if it ain't broke, don't fix it."" The iconic Geländewagen has been around since 1979, with only evolutionary updates keeping it fresh over the past four decades. It's weird and wild, and there's nothing else quite like it.

With a pedigree so storied, the G Class is a true legend of the road.

It has an ubiquitous 4.0-liter twin-turbo V8 engine, tuned here to deliver 416 horsepower and 450 pound-feet of torque. That's more than enough hustle to get this big, four-wheel-drive brute up and moving with a quickness. Mercedes estimates the 0-60 miles per hour time at under 6 seconds

The G Class comes with a 12.3-inch infotainment display, front and center, set back in the dash. 

- heated seats 
- ventilated seats 
- apple play 
- wireless charging
- massage seats 
- Upgraded surround sound

This vehicle is a non smoker 

Guidelines:
Great renters welcome to an easy smooth rental with a glance at your license,

Vehicle will always be washed upon pickup. My phone is on 24/7 for your needs should they arise. I’m happy to make recommendations for dining or places for pure fun. 

*Vehicle will always be washed upon pickup. There is a ***cleaning fee to keep this vehicle washed and the daily rate low. See extras section or it can be paid after your trip.  If no need for a wash let me know.

 Please keep the vehicle as clean as possible to ensure a great experience for everyone. 

No smoking please with the top down or up. A $150 smoking or marijuana smell fee will be applied if this guideline is broken.

It’s important to keep these vehicles looking new for all to enjoy. I have very affordable pricing on my vehicle’s so anyone can enjoy.",91304,none,5.0,"Gas (Premium)","['*Vehicle will always be washed upon pickup. There is a ***cleaning fee to keep this vehicle washed and the daily rate low. See extras section or it can be paid after your trip.  If no need for a wash let me know.']","g class",ca,none,180,"mercedes benz",14,5,"['$50']",suvs,500,4,267,none,"['Los Angeles International Airport']","https://turo.com/rentals/suvs/ca/los-angeles/mercedes-benz-g-class/543349",1
"Liberty Mutual",2014,los-angeles,"?  We are The Preferred choice for 1st-time Turo renters
As testified by our growing clientele!

?  $25 Off - your first trip by Turo!  
www.UmbrellaBlackFleet.com/booking

?  Our Turo story:  
www.UmbrellaBlackFleet.com
Book with confidence - check our ratings and response time!  


Hello fellow enthusiast!
Looking for Porsches, Nissan GT-R or alike?
Please visit our Turo garages at:        
?? www.UmbrellaBlackFleet.com/booking 



Bob Lutz, you know...the GM product czar, smote the earth and up sprang the Kappa platform, a fascinating hydroformed steel tubes and stampings, aluminum control arms, and GM-premium parts. Car and Driver Magazine attested to it's sporty chassis ""which kept the car flat and planted while chasing hairpins in the Santa Monica Mountains behind Malibu"".  There's no denying how beautiful they designed this puppy, a must drive to feel what a roadster should be.  Get ready to skydrive with the rare Saturn SKY!  Definitely one of the funnest convertible in the fleet.  

*Please note that this vehicle's design has a small 5.4 cubic ft. trunk space.  Also, like all sports cars they do have firmer suspensions. 

*Like all convertibles, please let the roof dry before putting it down to avoid rusting thank you for your consideration!

There is limited trunk space in the rear and side areas of the trunk

Rear dimensions- 23”W x 16”L x 9”H
Side dimensions- 7”W x 24”L x 11”H

Portable GPS available upon request.


***We treat each and everyone of our clients like VIP. As we ourselves used to travel for work, we understand and value your important schedule. One of us will always be available for any of your comfort needs, so we can make sure you get the ultimate experience.  We understand reliability and so we choose to keep our cars maintained professionally. Just ask for Cristian or Ernest! Thank you for L@@KING!!! ...and lets DRIVE!


______________________________________
24/7 pickup and return at 1 Gateway location.  There is a one time 2 to 8 USD parking fee for pick up, but we will also pay for the parking fees associated on your return when we pick up.  It’s like going halfsies!  

24/7 pickup and return at ONT/SNA/LGB/BUR airports.  There is a one time 11 to 20 USD parking fee for pick up, but we will also pay for the parking fees associated on your return when we pick up. It’s like going “Dutch”!

LAX Turo Valet pick up within the open business hours of 6am-10pm.  Your Uber/Lyft/Taxi will also be reimbursed during open business hours by your Turo Valet Attendant from LAX to the Turo Valet Lot and vice versa, no worries! For after hours (10pm-6am) we can accommodate you with a one time 8 to 19 USD parking fee for pick up, but we will also pay for the parking fees associated on your return when we pick up. It’s like a pick up and a drop off convenience for the price of 1! 

A quick note for last minute renters who love to live on the edge!  Please note that the 1hr advance notice requirement at LAX applies to reservation trip times starting between 6am-10pm.  Any trips requiring after hours pick up will need to provide us with a 12hr notice.  All delivery fees will be waived once we perfect our instant teleportation devices, but rest assured we’re working on it! 

In the meantime, this gives you a great option to pick up the car at any time even after hours and allows us to give you our great prices!

24/7 FREE pickups at Walnut, Ca.  91789

3% of our annual net proceeds are donated to St. Jude’s Children’s Hospital, Animal Welfare Institute, and WesternU College of Graduate Nursing Fund to give a little something back =)",90012,none,5.0,Gas,none,sky,ca,95,200,saturn,22,2,"['$20', '$50', '$50', '$50']",cars,none,2,300,"Up to 25 miles","['Los Angeles International Airport', 'Long Beach Airport', 'LA/Ontario International Airport', 'John Wayne Airport']","https://turo.com/rentals/cars/ca/los-angeles/saturn-sky/291053",0
