date,pickup_limit,rent_limit,ratings_total,trips,request_limit,not_available,availability,return_limit,price_per_day,car_id,car_disabled
2019-03-13,0,0,8,9,0,0,none,0,153,795,0
2019-03-13,0,0,16,21,0,1,"This car isn’t available",0,49,807,0
2019-03-13,0,0,9,13,0,0,none,0,35,816,0
2019-03-13,0,0,17,18,0,1,"This car isn’t available",0,56,850,0
2019-03-13,0,0,27,29,0,0,none,0,68,842,0
2019-03-13,0,0,31,34,0,0,none,0,119,862,0
2019-03-13,0,0,108,144,0,1,"This car isn’t available",0,49,888,0
2019-03-13,0,0,none,none,0,1,"This car isn’t available",0,92,908,0
2019-03-13,0,0,154,205,0,1,"This car isn’t available",0,31,26,0
2019-03-13,0,0,48,73,0,0,none,0,35,44,0
2019-03-13,0,0,29,29,0,1,"This car isn’t available",0,84,944,0
2019-03-13,0,0,2,2,0,0,none,0,81,65,0
2019-03-13,0,0,4,4,0,1,"This car isn’t available",0,32,973,0
2019-03-13,0,0,34,40,0,1,"This car isn’t available",0,64,75,0
2019-03-13,0,0,none,none,0,0,none,0,none,95,0
2019-03-13,0,0,44,63,0,1,"This car isn’t available",0,33,1001,0
2019-03-13,0,0,11,11,0,0,none,0,40,1008,0
2019-03-13,0,0,36,33,0,1,"This car isn’t available",0,57,106,0
2019-03-13,0,0,21,23,0,1,"This car isn’t available",0,39,135,0
2019-03-13,0,0,7,12,0,1,"This car isn’t available",0,59,1031,0
2019-03-13,0,0,18,25,0,1,"This car isn’t available",0,46,1057,0
2019-03-13,0,0,39,40,0,1,"This car isn’t available",0,46,1079,0
2019-03-13,0,0,20,22,0,1,"This car isn’t available",0,54,149,0
2019-03-13,0,0,8,8,0,0,none,0,51,1092,0
2019-03-13,0,0,3,3,0,1,"This car isn’t available",0,67,1116,0
2019-03-13,0,0,none,1,0,0,none,0,40,1137,0
2019-03-13,0,0,13,15,0,1,"This car isn’t available",0,48,186,0
2019-03-13,0,0,59,64,0,0,"This vehicle has been disabled by the owner",0,93,1148,1
2019-03-13,0,0,88,119,0,0,none,0,39,1143,0
2019-03-13,0,0,176,196,0,0,none,0,64,215,0
2019-03-13,0,0,66,76,0,1,"This car isn’t available",0,44,1174,0
2019-03-13,0,0,11,11,0,1,"This car isn’t available",0,41,1196,0
2019-03-13,0,0,32,35,0,1,"This car isn’t available",0,59,239,0
2019-03-13,0,0,23,25,0,1,"This car isn’t available",0,115,1209,0
